case,ordinal,address,element_size,alignment,offset,extent,column_capacity,mod64,mod4096,mod65536,next_stride,next_gap,field_path
1,0,6077379444736,8,64,0,524288,65536,0,0,0,524288,0,positions0.xs
1,1,6077379969024,8,64,524288,524288,65536,0,0,0,524288,0,positions0.ys
1,2,6077380493312,8,64,1048576,524288,65536,0,0,0,524288,0,positions0.zs
1,3,6077381017600,8,64,1572864,524288,65536,0,0,0,524288,0,velocities0.xs
1,4,6077381541888,8,64,2097152,524288,65536,0,0,0,524288,0,velocities0.ys
1,5,6077382066176,8,64,2621440,524288,65536,0,0,0,524288,0,velocities0.zs
1,6,6077382590464,8,64,3145728,524288,65536,0,0,0,524288,0,positions1.xs
1,7,6077383114752,8,64,3670016,524288,65536,0,0,0,524288,0,positions1.ys
1,8,6077383639040,8,64,4194304,524288,65536,0,0,0,524288,0,positions1.zs
1,9,6077384163328,8,64,4718592,524288,65536,0,0,0,524288,0,velocities1.xs
1,10,6077384687616,8,64,5242880,524288,65536,0,0,0,524288,0,velocities1.ys
1,11,6077385211904,8,64,5767168,524288,65536,0,0,0,524288,0,velocities1.zs
1,12,6077385736192,8,64,6291456,524288,65536,0,0,0,524288,0,positions2.xs
1,13,6077386260480,8,64,6815744,524288,65536,0,0,0,524288,0,positions2.ys
1,14,6077386784768,8,64,7340032,524288,65536,0,0,0,524288,0,positions2.zs
1,15,6077387309056,8,64,7864320,524288,65536,0,0,0,524288,0,velocities2.xs
1,16,6077387833344,8,64,8388608,524288,65536,0,0,0,524288,0,velocities2.ys
1,17,6077388357632,8,64,8912896,524288,65536,0,0,0,524288,0,velocities2.zs
1,18,6077388881920,8,64,9437184,524288,65536,0,0,0,524288,0,positions3.xs
1,19,6077389406208,8,64,9961472,524288,65536,0,0,0,524288,0,positions3.ys
1,20,6077389930496,8,64,10485760,524288,65536,0,0,0,524288,0,positions3.zs
1,21,6077390454784,8,64,11010048,524288,65536,0,0,0,524288,0,velocities3.xs
1,22,6077390979072,8,64,11534336,524288,65536,0,0,0,524288,0,velocities3.ys
1,23,6077391503360,8,64,12058624,524288,65536,0,0,0,,,velocities3.zs
2,0,2443568676864,8,64,0,524288,65536,0,0,0,524480,192,positions0.xs
2,1,2443569201344,8,64,524480,524288,65536,0,192,192,524480,192,positions0.ys
2,2,2443569725824,8,64,1048960,524288,65536,0,384,384,524480,192,positions0.zs
2,3,2443570250304,8,64,1573440,524288,65536,0,576,576,524480,192,velocities0.xs
2,4,2443570774784,8,64,2097920,524288,65536,0,768,768,524480,192,velocities0.ys
2,5,2443571299264,8,64,2622400,524288,65536,0,960,960,524480,192,velocities0.zs
2,6,2443571823744,8,64,3146880,524288,65536,0,1152,1152,524480,192,positions1.xs
2,7,2443572348224,8,64,3671360,524288,65536,0,1344,1344,524480,192,positions1.ys
2,8,2443572872704,8,64,4195840,524288,65536,0,1536,1536,524480,192,positions1.zs
2,9,2443573397184,8,64,4720320,524288,65536,0,1728,1728,524480,192,velocities1.xs
2,10,2443573921664,8,64,5244800,524288,65536,0,1920,1920,524480,192,velocities1.ys
2,11,2443574446144,8,64,5769280,524288,65536,0,2112,2112,524480,192,velocities1.zs
2,12,2443574970624,8,64,6293760,524288,65536,0,2304,2304,524480,192,positions2.xs
2,13,2443575495104,8,64,6818240,524288,65536,0,2496,2496,524480,192,positions2.ys
2,14,2443576019584,8,64,7342720,524288,65536,0,2688,2688,524480,192,positions2.zs
2,15,2443576544064,8,64,7867200,524288,65536,0,2880,2880,524480,192,velocities2.xs
2,16,2443577068544,8,64,8391680,524288,65536,0,3072,3072,524480,192,velocities2.ys
2,17,2443577593024,8,64,8916160,524288,65536,0,3264,3264,524480,192,velocities2.zs
2,18,2443578117504,8,64,9440640,524288,65536,0,3456,3456,524480,192,positions3.xs
2,19,2443578641984,8,64,9965120,524288,65536,0,3648,3648,524480,192,positions3.ys
2,20,2443579166464,8,64,10489600,524288,65536,0,3840,3840,524480,192,positions3.zs
2,21,2443579690944,8,64,11014080,524288,65536,0,4032,4032,524480,192,velocities3.xs
2,22,2443580215424,8,64,11538560,524288,65536,0,128,4224,524480,192,velocities3.ys
2,23,2443580739904,8,64,12063040,524288,65536,0,320,4416,,,velocities3.zs
3,0,3615557877760,8,64,0,1048576,131072,0,0,0,1048640,64,positions0.xs
