schema,schema_id,capacity,wide,owner,gap,processes,median_ns,minimum_ns,maximum_ns,extra_bytes,layout_identity,effective_median_ns
EntityData,0,65536,0,0,0,3,450213.0,444812.0,454809.0,0,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,450213.0
EntityData,0,65536,0,0,64,3,437175.0,430215.0,437983.0,3328,67680f90c6987605b76438a85837c4e0048e341323206b1967dd32bcb46027d4,437175.0
EntityData,0,65536,0,0,192,3,437082.0,436600.0,438942.0,9984,cd80c443f151b87327574f332a83bf153260b4de10bcd5811bb1061e857e8335,437082.0
EntityData,0,65536,0,1,0,3,454660.0,451923.0,454847.0,0,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,454660.0
EntityData,0,65536,0,2,0,3,455683.0,450723.0,455832.0,,separate-arrays,455683.0
EntityData,0,65536,1,0,0,3,7264987.0,7129125.0,7268203.0,0,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,7264987.0
EntityData,0,65536,1,0,64,3,1408558.0,1389293.0,1416324.0,3328,67680f90c6987605b76438a85837c4e0048e341323206b1967dd32bcb46027d4,1408558.0
EntityData,0,65536,1,0,192,3,1408508.0,1382714.0,1408607.0,9984,cd80c443f151b87327574f332a83bf153260b4de10bcd5811bb1061e857e8335,1408508.0
EntityData,0,65536,1,1,0,3,7267003.0,7256836.0,7268687.0,0,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,7267003.0
EntityData,0,65536,1,2,0,3,6889178.0,6831127.0,6958727.0,,separate-arrays,6889178.0
EntityData,0,65600,0,0,0,3,440003.0,432218.0,440904.0,0,25ca30a97437cdd9d7a413737050d2561c3bde235fd922d7d53dfba70d996b83,440003.0
EntityData,0,65600,0,0,64,3,434052.0,433349.0,438519.0,3328,5ab1ef25bc4aa0c87e894c34bb7b597f2b9e23f98e207e2fff207b6e126014e0,434052.0
EntityData,0,65600,0,0,192,3,438348.0,437520.0,440062.0,9984,f0ceb346f04150235393fdb1be3e7da3d23024673d9c58e1351606fcb8ed79b5,438348.0
EntityData,0,65600,0,1,0,3,432365.0,429188.0,446417.0,0,25ca30a97437cdd9d7a413737050d2561c3bde235fd922d7d53dfba70d996b83,432365.0
EntityData,0,65600,1,0,0,3,1432441.0,1430246.0,1434081.0,0,25ca30a97437cdd9d7a413737050d2561c3bde235fd922d7d53dfba70d996b83,1432441.0
EntityData,0,65600,1,0,64,3,1406717.0,1402737.0,1414608.0,3328,5ab1ef25bc4aa0c87e894c34bb7b597f2b9e23f98e207e2fff207b6e126014e0,1406717.0
EntityData,0,65600,1,0,192,3,1408007.0,1407144.0,1422641.0,9984,f0ceb346f04150235393fdb1be3e7da3d23024673d9c58e1351606fcb8ed79b5,1408007.0
