capacity,gap,owner,wide,live,schema,number,repetition,mean_ns,lower_ns,upper_ns,iterations,samples,base,bytes,extra_bytes,actual_capacity,schema_name,layout_identity,layout_policy,gap_extra_bytes,cpu_group,cpu,cpu_before,cpu_after
65536,0,0,0,65535,1,1,0,1563789.0,1554448.0,1579788.0,1.0,100.0,6077379444736,12582912,0,65536,SpacingDoubles,84ef08df3d68d2c6e99ca7856f527abcf0f2a4fda49c3ebfcbfc6e7a74a95b20,sequential,0,0,2,0:2,0:2
65536,192,0,1,65535,1,2,0,6052247.0,6045540.0,6075450.0,1.0,100.0,2443568676864,12587328,4416,65536,SpacingDoubles,651e93e5e6887e0d20e82d22a7691475c12d3e2d0c1e75f9dba0d49acca3a08e,sequential,4416,0,2,0:2,0:2
131072,64,0,0,65535,1,3,0,2456726.0,2442976.0,2466586.0,1.0,100.0,3615557877760,25167296,1472,131072,SpacingDoubles,1569ab2d3b48146c369d079a5bff2da4b14c5fa58a23982090fcfbac61cdd136,sequential,1472,0,2,0:2,0:2
100032,64,0,1,65535,0,4,0,1384441.0,1375300.0,1398510.0,1.0,100.0,6382858993664,19509568,3328,100032,EntityData,2e4c5af444c31cefde0c331b1081e87f36177b6885427cbb66189b4abf7ff063,sequential,3328,0,2,0:2,0:2
131072,64,0,1,65535,1,5,0,6084792.0,6071719.0,6125001.0,1.0,100.0,6151736066048,25167296,1472,131072,SpacingDoubles,1569ab2d3b48146c369d079a5bff2da4b14c5fa58a23982090fcfbac61cdd136,sequential,1472,0,2,0:2,0:2
75008,0,1,0,65535,0,6,0,432427.0,427109.0,438928.0,1.0,100.0,2290292031488,14626560,0,75008,EntityData,01c47a39851c7b9c284ee6d77c16943e1a2bd9058ebdc31e5bd779fc434fee25,generated-blocks,,0,2,0:2,0:2
65536,64,0,0,65535,1,7,0,1547627.0,1541831.0,1559251.0,1.0,100.0,4605816274944,12584384,1472,65536,SpacingDoubles,6a784259155b7cab5390e3bebb706e2d9406dbaa4c293fbed535e14f1725a896,sequential,1472,0,2,0:2,0:2
100032,64,0,0,65535,0,8,0,425369.0,421271.0,430245.0,1.0,100.0,4948339916800,19509568,3328,100032,EntityData,2e4c5af444c31cefde0c331b1081e87f36177b6885427cbb66189b4abf7ff063,sequential,3328,0,2,0:2,0:2
75008,64,0,1,65535,0,9,0,1383299.0,1372902.0,1399550.0,1.0,100.0,4671851397120,14629888,3328,75008,EntityData,bc2c649030a04f2bb93647001e3773c6d2bd952ac54c710ca8e92f2d8d2af5a8,sequential,3328,0,2,0:2,0:2
131072,192,0,1,65535,3,10,0,5992519.0,5970251.0,6035517.0,1.0,100.0,4889316950016,141560576,2816,131072,SpacingAligned,a087e2f07a100609091ee83ed2155be5ee9c5e1818487c8c303824fd1fa9236e,sequential,2816,0,2,0:2,0:2
65536,192,0,1,65535,3,11,0,5710637.0,5684804.0,5760988.0,1.0,100.0,4215275520000,70781696,2816,65536,SpacingAligned,0a99ec47e2daa1a3900cf8199331623ddfcce64a5ef985d6ed513e4b4c2da9b0,sequential,2816,0,2,0:2,0:2
75008,192,0,1,65535,2,12,0,19134722.0,19111951.0,19157337.0,1.0,100.0,5747740704768,13509312,7872,75008,SpacingMixedWidths,d27bcf064d3259430b9c898e10c1706e1061b1e2d83ce3b828bac4ed72e97563,sequential,7872,0,2,0:2,0:2
75008,192,0,0,65535,3,13,0,2089644.0,2076320.0,2107002.0,1.0,100.0,5365789884416,81011456,2816,75008,SpacingAligned,545f9e8359bc0a079c02df71d5feff2d453b610a6eec87ea3c3c6611c145cfaf,sequential,2816,0,2,0:2,0:2
75008,64,0,1,65535,3,14,0,5716036.0,5683932.0,5770956.0,1.0,100.0,5200970514432,81009920,1280,75008,SpacingAligned,3db1ebee56aeb8d7ed0a4a13d289bc3f5ceed6c1824c0655dbf6000822bced39,sequential,1280,0,2,0:2,0:2
75008,0,1,1,65535,0,15,0,1444798.0,1432058.0,1461657.0,1.0,100.0,5264825319424,14626560,0,75008,EntityData,01c47a39851c7b9c284ee6d77c16943e1a2bd9058ebdc31e5bd779fc434fee25,generated-blocks,,0,2,0:2,0:2
65536,0,0,0,65535,2,16,0,2878890.0,2864717.0,2896883.0,1.0,100.0,3816347598848,11796480,0,65536,SpacingMixedWidths,823fc9c67bc9802bfa9bf7ac0e3e495da693525001742f7590fe9e8b37f3d502,sequential,0,0,2,0:2,0:2
65536,192,0,0,65535,1,17,0,1583447.0,1570219.0,1600903.0,1.0,100.0,2952522301440,12587328,4416,65536,SpacingDoubles,651e93e5e6887e0d20e82d22a7691475c12d3e2d0c1e75f9dba0d49acca3a08e,sequential,4416,0,2,0:2,0:2
