owner,count,reserved,allocation_requests,retained_blocks,requested_bytes,usable_bytes,live_bytes,row_slack_bytes,padding_bytes,peak_requested_bound,min_capacity,max_capacity,owner_bytes
TArray,4096,0,795,53,816855,998352,798720,18135,0,828991,4189,4189,848
Single,4096,0,11,1,923520,983040,798720,124800,0,1584960,4736,4736,16
TArray,4096,1,53,53,798720,798720,798720,0,0,798720,4096,4096,848
Single,4096,1,1,1,798720,851968,798720,0,0,798720,4096,4096,16
TArray,65536,0,1272,53,14497080,14807000,12779520,1717560,0,14713304,74344,74344,848
Single,65536,0,20,1,16660800,16777216,12779520,3881280,0,28766400,85440,85440,16
TArray,65536,1,53,53,12779520,13135872,12779520,0,0,12779520,65536,65536,848
Single,65536,1,1,1,12779520,13631488,12779520,0,0,12779520,65536,65536,16
TArray,1048576,0,1749,53,254832240,255590352,204472320,50359920,0,258633884,1306832,1306832,848
Single,1048576,0,28,1,213133440,213909504,204472320,8661120,0,368135040,1092992,1092992,16
TArray,1048576,1,53,53,204472320,219348992,204472320,0,0,204472320,1048576,1048576,848
Single,1048576,1,1,1,204472320,205520896,204472320,0,0,204472320,1048576,1048576,16
