count,operation,baseline_median_ns,baseline_p10_ns,baseline_p90_ns,single_median_ns,single_p10_ns,single_p90_ns,baseline_over_single
4096,natural_append_1,287500.000,283500.000,290000.000,65300.000,57500.000,68600.000,4.40276
4096,natural_append_64,46300.000,45000.000,47200.000,45100.000,44300.000,45400.000,1.02661
4096,reserved_append_1,240600.000,236800.000,243800.000,4500.000,4400.000,4600.000,53.46667
4096,reserved_append_64,3900.000,3800.000,3900.000,100.000,100.000,200.000,39.00000
4096,defaulted_append_1,424500.000,416800.000,437400.000,648300.000,642600.000,655200.000,0.65479
4096,defaulted_append_64,12400.000,12200.000,12500.000,9400.000,9300.000,9500.000,1.31915
4096,reserve,1500.000,1500.000,1600.000,4600.000,3200.000,4700.000,0.32609
4096,populated_growth,18500.000,18000.000,18700.000,24500.000,24300.000,25200.000,0.75510
4096,set_num_grow,6600.000,5200.000,6800.000,4900.000,4800.000,5100.000,1.34694
4096,set_num_shrink_reuse,469400.000,466600.000,472300.000,5200.000,5200.000,5300.000,90.26923
4096,reset_reuse,291000.000,289000.000,295100.000,3800.000,3700.000,3800.000,76.57895
4096,remove_swap,116500.000,116100.000,135900.000,166200.000,163900.000,170700.000,0.70096
4096,iterate,24400.000,24300.000,24800.000,24500.000,24400.000,24800.000,0.99592
4096,iterate_wide,320400.000,319100.000,323600.000,324400.000,323000.000,327600.000,0.98767
4096,construct_views,319600.000,316400.000,322700.000,121800.000,120600.000,123000.000,2.62397
65536,natural_append_1,4735100.000,4569700.000,4870500.000,7758000.000,7606100.000,8056600.000,0.61035
65536,natural_append_64,1082100.000,990400.000,1255000.000,7928500.000,7558900.000,8262000.000,0.13648
65536,reserved_append_1,3847500.000,3779600.000,3907400.000,70700.000,69400.000,71700.000,54.42008
65536,reserved_append_64,58100.000,57800.000,58600.000,1100.000,1100.000,1200.000,52.81818
65536,defaulted_append_1,6942200.000,6807800.000,7125800.000,10626000.000,10548900.000,10873600.000,0.65332
65536,defaulted_append_64,883500.000,522300.000,1488500.000,591100.000,488300.000,799100.000,1.49467
65536,reserve,5300.000,4700.000,8000.000,1142400.000,1102100.000,1265300.000,0.00464
65536,populated_growth,683600.000,625700.000,784900.000,3698800.000,3434100.000,3857100.000,0.18482
65536,set_num_grow,163100.000,126600.000,245400.000,283400.000,234200.000,317900.000,0.57551
65536,set_num_shrink_reuse,465500.000,459200.000,474700.000,5100.000,5100.000,5300.000,91.27451
65536,reset_reuse,280800.000,279900.000,284900.000,3700.000,3700.000,3900.000,75.89189
65536,remove_swap,2284700.000,2055900.000,2888000.000,2909500.000,2812900.000,3144200.000,0.78526
65536,iterate,501900.000,409600.000,810600.000,463600.000,438100.000,903700.000,1.08261
65536,iterate_wide,6683000.000,6066000.000,9236100.000,7560500.000,7360300.000,9925500.000,0.88394
65536,construct_views,335900.000,328800.000,649500.000,125900.000,124700.000,183300.000,2.66799
1048576,natural_append_1,130166100.000,123350300.000,141100400.000,132776100.000,129666400.000,135692000.000,0.98034
1048576,natural_append_64,44899700.000,42326500.000,50356800.000,132748500.000,130051500.000,147532600.000,0.33823
1048576,reserved_append_1,75969300.000,68077000.000,82288500.000,1197000.000,1147800.000,2298400.000,63.46642
1048576,reserved_append_64,1153900.000,1069000.000,1947800.000,18200.000,18100.000,36800.000,63.40110
1048576,defaulted_append_1,159379100.000,149854500.000,169790900.000,152729400.000,141894500.000,163535400.000,1.04354
1048576,defaulted_append_64,35177200.000,32368300.000,44446300.000,16709700.000,15599300.000,19367700.000,2.10520
1048576,reserve,169600.000,135100.000,198600.000,19258800.000,17857300.000,20396100.000,0.00881
1048576,populated_growth,48354700.000,46158100.000,50891100.000,59132300.000,57039500.000,68215400.000,0.81774
1048576,set_num_grow,19455400.000,18624200.000,22523600.000,3396300.000,3002200.000,4521400.000,5.72841
1048576,set_num_shrink_reuse,515200.000,509300.000,941800.000,5700.000,5500.000,10700.000,90.38596
1048576,reset_reuse,326300.000,323300.000,593900.000,4100.000,4000.000,7400.000,79.58537
1048576,remove_swap,65752700.000,64778300.000,74880600.000,52681900.000,51712300.000,57877800.000,1.24811
1048576,iterate,7627300.000,7363600.000,11454400.000,7678400.000,7338700.000,11807300.000,0.99334
1048576,iterate_wide,135432600.000,126007900.000,144818500.000,137146400.000,128486100.000,147663700.000,0.98750
1048576,construct_views,346100.000,339000.000,655000.000,125000.000,124100.000,200300.000,2.76880
