capacity,gap,owner,wide,live,number,repetition,mean_ns,lower_ns,upper_ns,iterations,samples,base,bytes,extra_bytes,actual_capacity
100032,0,0,0,65535,1,0,427588.333,422541.667,430695.0,1.0,30.0,4016868884480,19506240,0,100032
131072,1024,0,1,65535,2,0,1366075.0,1362045.0,1374131.67,1.0,30.0,6273068892160,25612288,53248,131072
131072,384,0,0,65535,3,0,393238.333,387041.667,401081.667,1.0,30.0,6096975233024,25579008,19968,131072
100032,64,0,0,65535,4,0,399971.667,393108.333,408315.0,1.0,30.0,3060433354752,19509568,3328,100032
100032,128,0,0,65535,5,0,384431.667,382128.333,389281.667,1.0,30.0,3560260173824,19512896,6656,100032
131072,1024,0,0,65535,6,0,399511.667,392448.333,408475.0,1.0,30.0,2732136792064,25612288,53248,131072
100032,192,0,0,65535,7,0,411108.333,402565.0,418365.0,1.0,30.0,3455033475072,19516224,9984,100032
75008,128,0,1,65535,8,0,1297828.33,1294638.33,1305128.33,1.0,30.0,3598646444032,14633216,6656,75008
65536,0,1,0,65536,9,0,428781.667,422068.333,434638.333,1.0,30.0,4536559927296,12779520,0,65536
100032,1024,0,1,65535,10,0,1329165.0,1322761.67,1340385.0,1.0,30.0,4626217369600,19559488,53248,100032
100032,256,0,0,65535,11,0,421531.667,411835.0,430341.667,1.0,30.0,2373238587392,19519552,13312,100032
65536,0,0,0,65535,12,0,416021.667,412615.0,419145.0,1.0,30.0,5654593601536,12779520,0,65536
131072,192,0,0,65535,13,0,394065.0,387968.333,401725.0,1.0,30.0,4165850562560,25569024,9984,131072
131072,512,0,0,65535,14,0,390735.0,386931.667,399171.667,1.0,30.0,3252633141248,25585664,26624,131072
65600,64,0,1,65535,15,0,1302771.67,1297138.33,1316478.33,1.0,30.0,3985998807040,12795328,3328,65600
100032,64,0,1,65535,16,0,1297991.67,1293311.67,1307395.0,1.0,30.0,5970005262336,19509568,3328,100032
65536,128,0,0,65535,17,0,389528.333,383428.333,398031.667,1.0,30.0,2323846463488,12786176,6656,65536
65536,0,2,0,65536,18,0,443668.333,440875.0,448221.667,1.0,30.0,0,12779520,,65536
65600,0,0,0,65535,19,0,402431.667,395171.667,412091.667,1.0,30.0,5056519405568,12792000,0,65600
75008,512,0,1,65535,20,0,1333085.0,1329051.67,1338018.33,1.0,30.0,2666101669888,14653184,26624,75008
75008,192,0,0,65535,21,0,383995.0,381835.0,386678.333,1.0,30.0,2849443086336,14636544,9984,75008
100032,384,0,1,65535,22,0,1306541.67,1296858.33,1328408.33,1.0,30.0,5877126594560,19526208,19968,100032
65536,512,0,1,65535,23,0,1340065.0,1335125.0,1350861.67,1.0,30.0,6343398981632,12806144,26624,65536
75008,512,0,0,65535,24,0,406401.667,398201.667,423061.667,1.0,30.0,5422665367552,14653184,26624,75008
65600,0,1,1,65536,25,0,1340878.33,1331895.0,1362975.0,1.0,30.0,4999611088896,12792000,0,65600
131072,512,0,1,65535,26,0,1340338.33,1335441.67,1346761.67,1.0,30.0,3385508691968,25585664,26624,131072
65536,64,0,1,65535,27,0,1314078.33,1298348.33,1370535.0,1.0,30.0,3025268310016,12782848,3328,65536
131072,64,0,0,65535,28,0,438561.667,432255.0,446911.667,1.0,30.0,5622918217728,25562368,3328,131072
131072,0,0,0,65535,29,0,427621.667,421761.667,433335.0,1.0,30.0,2283044274176,25559040,0,131072
75008,384,0,1,65535,30,0,1308868.33,1292191.67,1373411.67,1.0,30.0,2444642418688,14646528,19968,75008
100032,0,1,0,65535,31,0,405308.333,399495.0,412098.333,1.0,30.0,5542387580928,19506240,0,100032
100032,512,0,0,65535,32,0,391538.333,387471.667,398221.667,1.0,30.0,4381135798272,19532864,26624,100032
65600,0,1,1,65535,33,0,1327218.33,1323558.33,1332945.0,1.0,30.0,4069213798400,12792000,0,65600
131072,256,0,1,65535,34,0,1332178.33,1325491.67,1345351.67,1.0,30.0,4797747625984,25572352,13312,131072
75008,768,0,1,65535,35,0,1336068.33,1327791.67,1353288.33,1.0,30.0,6001412210688,14666496,39936,75008
65536,256,0,0,65535,36,0,400498.333,388141.667,429868.333,1.0,30.0,2805419671552,12792832,13312,65536
65536,0,2,1,65535,37,0,6634148.33,6610751.67,6720901.67,1.0,30.0,0,12779520,,65536
65600,256,0,0,65535,38,0,403741.667,397918.333,410565.0,1.0,30.0,6498554675200,12805312,13312,65600
75008,0,0,1,65535,39,0,1358991.67,1349791.67,1390175.0,1.0,30.0,2287339241472,14626560,0,75008
131072,0,1,1,65535,40,0,7036968.33,7016365.0,7083558.33,1.0,30.0,6551168024576,25559040,0,131072
131072,192,0,1,65535,41,0,1290035.0,1286428.33,1294781.67,1.0,30.0,4800700416000,25569024,9984,131072
75008,64,0,1,65535,42,0,1299018.33,1293255.0,1311775.0,1.0,30.0,2316330270720,14629888,3328,75008
100032,768,0,1,65535,43,0,1324958.33,1320565.0,1331955.0,1.0,30.0,5595269365760,19546176,39936,100032
100032,0,1,1,65535,44,0,1335348.33,1330395.0,1349225.0,1.0,30.0,5079336419328,19506240,0,100032
65536,0,2,0,65535,45,0,427178.333,421135.0,432808.333,1.0,30.0,0,12779520,,65536
75008,128,0,0,65535,46,0,385145.0,383268.333,386471.667,1.0,30.0,2375922941952,14633216,6656,75008
100032,512,0,1,65535,47,0,1329608.33,1325788.33,1338178.33,1.0,30.0,6320850403328,19532864,26624,100032
75008,64,0,0,65535,48,0,399631.667,391965.0,408751.667,1.0,30.0,2363574910976,14629888,3328,75008
65536,0,1,1,65535,49,0,6953631.67,6920851.67,7053601.67,1.0,30.0,3051038113792,12779520,0,65536
131072,768,0,1,65535,50,0,1375071.67,1371288.33,1381485.0,1.0,30.0,3097209012224,25598976,39936,131072
131072,64,0,1,65535,51,0,1358601.67,1351965.0,1370988.33,1.0,30.0,5097858465792,25562368,3328,131072
65600,64,0,0,65535,52,0,400431.667,394111.667,408228.333,1.0,30.0,5211675099136,12795328,3328,65600
65600,384,0,1,65535,53,0,1331461.67,1322855.0,1345688.33,1.0,30.0,4476967256064,12811968,19968,65600
65536,64,0,0,65535,54,0,386428.333,385065.0,387595.0,1.0,30.0,5149934944256,12782848,3328,65536
100032,768,0,0,65535,55,0,391715.0,390055.0,395041.667,1.0,30.0,4805800689664,19546176,39936,100032
65600,0,0,1,65535,56,0,1325181.67,1320661.67,1330885.0,1.0,30.0,3849633595392,12792000,0,65600
65536,1024,0,1,65535,57,0,1385628.33,1379688.33,1399201.67,1.0,30.0,4982699655168,12832768,53248,65536
75008,0,1,1,65535,58,0,1348718.33,1343241.67,1361078.33,1.0,30.0,5625602572288,14626560,0,75008
131072,0,0,1,65535,59,0,6921508.33,6908398.33,6948825.0,1.0,30.0,6443525406720,25559040,0,131072
65536,512,0,0,65535,60,0,403218.333,396308.333,411558.333,1.0,30.0,3130495008768,12806144,26624,65536
65536,192,0,1,65535,61,0,1296015.0,1291658.33,1303625.0,1.0,30.0,4525285638144,12789504,9984,65536
131072,0,1,0,65535,62,0,406075.0,403081.667,411625.0,1.0,30.0,4840697298944,25559040,0,131072
65536,0,1,0,65535,63,0,430745.0,423061.667,438928.333,1.0,30.0,4471061676032,12779520,0,65536
131072,128,0,0,65535,64,0,389628.333,386191.667,394681.667,1.0,30.0,5372736372736,25565696,6656,131072
75008,192,0,1,65535,65,0,1298298.33,1294075.0,1309688.33,1.0,30.0,2994398232576,14636544,9984,75008
65536,0,1,1,65536,66,0,6921001.67,6898771.67,7002231.67,1.0,30.0,3252901576704,12779520,0,65536
65536,384,0,1,65535,67,0,1305308.33,1298888.33,1317551.67,1.0,30.0,4675341058048,12799488,19968,65536
65600,512,0,0,65535,68,0,424871.667,416345.0,429838.333,1.0,30.0,3436779864064,12818624,26624,65600
100032,1024,0,0,65535,69,0,387001.667,384818.333,388901.667,1.0,30.0,4821369946112,19559488,53248,100032
75008,0,0,0,65535,70,0,407631.667,400745.0,416751.667,1.0,30.0,4916932968448,14626560,0,75008
75008,384,0,0,65535,71,0,401855.0,395555.0,408878.333,1.0,30.0,4094983602176,14646528,19968,75008
65536,0,2,1,65536,72,0,6621168.33,6608535.0,6659271.67,1.0,30.0,0,12779520,,65536
65536,768,0,1,65535,73,0,1355378.33,1351285.0,1366165.0,1.0,30.0,4163703078912,12819456,39936,65536
131072,384,0,1,65535,74,0,1293728.33,1289001.67,1306241.67,1.0,30.0,5440650543104,25579008,19968,131072
65536,192,0,0,65535,75,0,388288.333,386751.667,392705.0,1.0,30.0,2295392305152,12789504,9984,65536
65600,768,0,1,65535,76,0,1346555.0,1342325.0,1353325.0,1.0,30.0,6380711510016,12831936,39936,65600
75008,0,1,0,65535,77,0,404831.667,397015.0,414425.0,1.0,30.0,4075387813888,14626560,0,75008
65600,128,0,0,65535,78,0,433255.0,422768.333,444201.667,1.0,30.0,4241817796608,12798656,6656,65600
100032,256,0,1,65535,79,0,1335905.0,1331931.67,1341788.33,1.0,30.0,2943932366848,19519552,13312,100032
65600,1024,0,1,65535,80,0,1330535.0,1324088.33,1349908.33,1.0,30.0,5372736372736,12845248,53248,65600
65536,256,0,1,65535,81,0,1331811.67,1324758.33,1352388.33,1.0,30.0,5517691518976,12792832,13312,65536
131072,768,0,0,65535,82,0,397061.667,392118.333,403998.333,1.0,30.0,4122632454144,25598976,39936,131072
65536,128,0,1,65535,83,0,1308208.33,1303425.0,1320638.33,1.0,30.0,6434130165760,12786176,6656,65536
65536,384,0,0,65535,84,0,392051.667,386255.0,400808.333,1.0,30.0,6482716983296,12799488,19968,65536
75008,768,0,0,65535,85,0,389441.667,386858.333,394195.0,1.0,30.0,3867618770944,14666496,39936,75008
65600,1024,0,0,65535,86,0,399128.333,390741.667,413768.333,1.0,30.0,2559532793856,12845248,53248,65600
75008,1024,0,1,65535,87,0,1380731.67,1376838.33,1385238.33,1.0,30.0,3431411154944,14679808,53248,75008
65600,0,1,0,65535,88,0,389561.667,388165.0,390805.0,1.0,30.0,5705059467264,12792000,0,65600
65600,384,0,0,65535,89,0,391485.0,386781.667,398401.667,1.0,30.0,5835250663424,12811968,19968,65600
65600,192,0,1,65535,90,0,1295865.0,1291571.67,1306801.67,1.0,30.0,5375689162752,12801984,9984,65600
131072,128,0,1,65535,91,0,1306135.0,1298828.33,1325651.67,1.0,30.0,3383898079232,25565696,6656,131072
100032,0,0,1,65535,92,0,1327211.67,1322791.67,1338965.0,1.0,30.0,3876745576448,19506240,0,100032
75008,1024,0,0,65535,93,0,392918.333,388251.667,399431.667,1.0,30.0,2471485964288,14679808,53248,75008
65600,256,0,1,65535,94,0,1335121.67,1329005.0,1347338.33,1.0,30.0,4948339916800,12805312,13312,65600
100032,384,0,0,65535,95,0,404335.0,392751.667,420705.0,1.0,30.0,2888634662912,19526208,19968,100032
65536,768,0,0,65535,96,0,384231.667,381945.0,385928.333,1.0,30.0,2946885156864,12819456,39936,65536
100032,192,0,1,65535,97,0,1300928.33,1296051.67,1311711.67,1.0,30.0,4058476380160,19516224,9984,100032
65600,128,0,1,65535,98,0,1301001.67,1296968.33,1307331.67,1.0,30.0,2697240182784,12798656,6656,65600
65536,0,0,1,65535,99,0,7120645.0,7107638.33,7143878.33,1.0,30.0,4219806089216,12779520,0,65536
65600,768,0,0,65535,100,0,429458.333,419868.333,439208.333,1.0,30.0,3510599614464,12831936,39936,65600
75008,256,0,0,65535,101,0,439911.667,429695.0,448635.0,1.0,30.0,6071742300160,14639872,13312,75008
100032,128,0,1,65535,102,0,1338238.33,1332531.67,1348078.33,1.0,30.0,3025805180928,19512896,6656,100032
131072,256,0,0,65535,103,0,407401.667,399628.333,415778.333,1.0,30.0,4715069505536,25572352,13312,131072
65600,0,1,0,65536,104,0,391485.0,387688.333,396988.333,1.0,30.0,5226707484672,12792000,0,65600
65536,1024,0,0,65535,105,0,386681.667,384151.667,388911.667,1.0,30.0,4974378156032,12832768,53248,65536
75008,256,0,1,65535,106,0,1347781.67,1340855.0,1359888.33,1.0,30.0,2901251129344,14639872,13312,75008
65600,192,0,0,65535,107,0,410948.333,400428.333,420748.333,1.0,30.0,5491653279744,12801984,9984,65600
65600,512,0,1,65535,108,0,1329088.33,1325061.67,1339435.0,1.0,30.0,2598187499520,12818624,26624,65600
65536,0,1,0,65535,109,1,423048.0,420025.0,425868.0,1.0,100.0,4983504961536,12779520,0,65536
65600,768,0,0,65535,110,1,398034.0,394759.0,402016.0,1.0,100.0,2597919064064,12831936,39936,65600
131072,192,0,1,65535,111,1,1297836.0,1295161.0,1301603.0,1.0,100.0,3788967182336,25569024,9984,131072
100032,64,0,1,65535,112,1,1299032.0,1296540.0,1305682.0,1.0,100.0,4912369565696,19509568,3328,100032
75008,0,0,1,65535,113,1,1364308.0,1362088.0,1367678.0,1.0,100.0,6420439957504,14626560,0,75008
65536,0,2,1,65535,114,1,6718965.0,6637529.0,6920572.0,1.0,100.0,0,12779520,,65536
131072,0,0,1,65535,115,1,7034548.0,7028807.0,7041145.0,1.0,100.0,2887560921088,25559040,0,131072
100032,64,0,0,65535,116,1,390287.0,388413.0,393173.0,1.0,100.0,4573604020224,19509568,3328,100032
100032,0,0,0,65535,117,1,392923.0,391189.0,395592.0,1.0,100.0,5159330185216,19506240,0,100032
100032,0,1,1,65535,118,1,1328947.0,1326163.0,1334418.0,1.0,100.0,3267128655872,19506240,0,100032
131072,192,0,0,65535,119,1,405640.0,401608.0,410344.0,1.0,100.0,4171487707136,25569024,9984,131072
75008,128,0,0,65535,120,1,402703.0,398295.0,407660.0,1.0,100.0,4708627054592,14633216,6656,75008
75008,128,0,1,65535,121,1,1298005.0,1292371.0,1319387.0,1.0,100.0,5502390697984,14633216,6656,75008
65536,192,0,0,65535,122,1,411891.0,406530.0,417636.0,1.0,100.0,5172483522560,12789504,9984,65536
65600,192,0,1,65535,123,1,1299938.0,1297595.0,1303508.0,1.0,100.0,2632010366976,12801984,9984,65600
75008,1024,0,1,65535,124,1,1383740.0,1376882.0,1400994.0,1.0,100.0,3325379149824,14679808,53248,75008
131072,0,1,0,65535,125,1,429836.0,425357.0,435163.0,1.0,100.0,5887327141888,25559040,0,131072
75008,0,1,0,65535,126,1,406270.0,401902.0,410982.0,1.0,100.0,4159944982528,14626560,0,75008
65600,0,0,1,65535,127,1,1328856.0,1325617.0,1337907.0,1.0,100.0,4023579770880,12792000,0,65600
