count,operation,owner,mean,lower,upper,confidence,iterations,samples,owners
65536,reserve_1,SingleMimalloc,249.692308,247.507692,257.107692,0.95,65,100,1
65536,reserve_1,SoAMimalloc,2987,2942.5,3186,0.95,6,100,1
65536,reserve_2,SingleMimalloc,485.424242,477.060606,503.515152,0.95,33,100,2
65536,reserve_2,SoAMimalloc,5859.66667,5752.66667,6361.33333,0.95,3,100,2
65536,reserve_4,SingleMimalloc,1089.875,1063.9375,1127.6875,0.95,16,100,4
65536,reserve_4,SoAMimalloc,12547.5,12292.5,13706,0.95,2,100,4
65536,reserve_8,SingleMimalloc,2034.125,2008.625,2135.625,0.95,8,100,8
65536,reserve_8,SoAMimalloc,28255,27264,31471,0.95,1,100,8
65536,reserve_16,SingleMimalloc,4442.25,4363.75,4604,0.95,4,100,16
65536,reserve_16,SoAMimalloc,56674,55336,62248,0.95,1,100,16
65536,reserve_32,SingleMimalloc,9316,9176.5,9920.5,0.95,2,100,32
65536,reserve_32,SoAMimalloc,125943,122806,137920,0.95,1,100,32
65536,reserve_64,SingleMimalloc,21392,21023,23064,0.95,1,100,64
65536,reserve_64,SoAMimalloc,271088,264846,297324,0.95,1,100,64
65536,reserve_128,SingleMimalloc,59688,57620,62435,0.95,1,100,128
65536,reserve_128,SoAMimalloc,644791,630148,687291,0.95,1,100,128
65536,reserve_200,SingleMimalloc,111353,109106,117001,0.95,1,100,200
65536,reserve_200,SoAMimalloc,1179429,1158185,1250491,0.95,1,100,200
65536,reserve_256,SingleMimalloc,161656,160278,165591,0.95,1,100,256
65536,reserve_256,SoAMimalloc,1819480,1768763,1903029,0.95,1,100,256
65536,reserve_512,SingleMimalloc,525274,521226,532475,0.95,1,100,512
65536,reserve_512,SoAMimalloc,5896735,5820976,6021499,0.95,1,100,512
