owners,TArray,Single,RawMalloc,RawRealloc,SoAMalloc,SoARealloc
1,0.142565,1.519065,2.487235,1.593985,0.256235,0.145975
2,0.415965,2.961455,3.720955,2.953405,0.636035,0.475375
4,1.864315,5.903285,7.455395,5.876865,3.392455,1.882805
8,4.485085,11.850835,15.899755,13.478245,8.829395,4.469625
16,9.388935,27.560075,31.610205,23.400185,19.072425,9.639685
32,20.962615,51.048015,67.264025,47.407815,38.734355,19.491975
64,41.632195,97.125495,131.725175,100.830175,81.270665,39.776035
128,81.060835,201.444825,266.999915,200.557345,161.551925,79.954675
200,126.919595,313.319535,417.081035,317.375365,250.749635,125.086385
256,162.730115,402.655395,536.397065,405.989205,320.428345,160.126485
512,348.446915,813.643025,1080.7379,807.207995,660.989635,344.621005
